Ensembl.id,Gene.name,G19.Scr.1,G19.Scr.2,G19.Scr.3,G19.Scr.4,G19.shMETTL7B.1,G19.shMETTL7B.2,G19.shMETTL7B.3,G19.shMETTL7B.4
ENSG00000000003,TSPAN6,5.418102717,5.3806099,4.926320839,4.922283979,4.969494033,4.907264908,4.951279885,5.038905541
ENSG00000000419,DPM1,5.11071389,5.058294805,5.023399986,5.061107274,4.85522572,4.856353773,4.909073564,4.843967825
ENSG00000000457,SCYL3,3.142748919,2.92652492,3.493628976,3.274455105,3.32340087,3.525981197,3.262854589,3.427491533
ENSG00000000460,C1orf112,3.582025391,3.898739154,4.064020777,3.886875851,4.007363241,4.144120605,4.175416691,3.952342775
ENSG00000001036,FUCA2,6.80776925,6.763962433,6.775450196,6.896956548,6.866082001,6.855875558,6.862136812,6.814517647
ENSG00000001084,GCLC,3.967714688,4.216446041,3.384257123,3.425645639,3.463036715,3.355600706,3.288005259,3.260429151
ENSG00000001167,NFYA,5.092940608,4.939535299,5.160253202,5.278820695,5.41125792,5.552072356,5.487022574,5.476299069
ENSG00000001461,NIPAL3,0.866957889,1.111002412,0.718678297,1.055414516,0.327635911,0.96726424,0.702919143,0.945608709
ENSG00000001497,LAS1L,5.183047123,5.187076633,4.859694152,4.840012505,4.946921534,5.043014621,4.975660479,4.986913206
ENSG00000001629,ANKIB1,6.86346205,6.977683005,7.161667678,7.194917801,7.126297475,7.046638478,7.075460268,7.127157427
ENSG00000001630,CYP51A1,7.698907402,7.738463721,8.161208817,8.132497939,8.064091683,8.140618819,8.096738216,8.060319859
ENSG00000001631,KRIT1,5.578494244,5.646331234,5.67543642,5.568575714,5.549647739,5.701656258,5.61252092,5.663094085
ENSG00000002016,RAD52,2.513260622,2.294369332,2.574543363,2.513260622,2.678282546,2.60423749,2.834219979,2.704811283
ENSG00000002330,BAD,6.14258218,6.047263866,6.083499469,6.168903961,5.939706722,5.944908142,5.81728117,5.854529174
ENSG00000002549,LAP3,6.842361045,6.782758892,6.294301927,6.330327485,6.467996965,6.479430314,6.431277082,6.517110968
ENSG00000002586,CD99,8.054688661,8.034308541,7.972601426,8.005390645,7.466542163,7.490362285,7.516912802,7.467532612
ENSG00000002587,HS3ST1,3.431005288,3.370813588,2.996602686,3.144048256,2.809587879,2.471435456,2.663142353,2.398180138
ENSG00000002822,MAD1L1,5.904948003,5.947631903,5.639147687,5.71987996,5.792674513,5.839208212,5.828649633,5.932047646
